PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300f,,,,6cTsJcQs,-100|100,sun.kaishi.1,DeepStack 
cr300c,k,r750r1500f,,6d8d5dAh2cTh3c4d,-750|750,laak.phil.4,DeepStack 
cr400f,,,,8c9c4sTh,100|-100,laak.phil.1,DeepStack 
r300c,k,k,k,TcQh3s9cQcAc7s8s7c,300|-300,DeepStack,sun.kaishi.1 
r300r600c,k,r1800c,r3600f,8cQcJcKd4dTd2s9c9s,1800|-1800,DeepStack,laak.phil.2 
r300f,,,,8s2cKdAs,-100|100,DeepStack,sun.kaishi.2 
r200c,cr400f,,,Ks5c6cJd7c4dTc,-200|200,laak.phil.2,DeepStack 
cr300c,k,cr600c,cr1200c,5s5cTcQd7c6sTd4h2s,-1200|1200,sun.kaishi.2,DeepStack 
cr300c,r600f,,,8d8sAc7h6cQh3s,300|-300,DeepStack,laak.phil.1 
f,,,,Qh4d8d2s,50|-50,DeepStack,laak.phil.2 
f,,,,7s6s2h5c,50|-50,laak.phil.2,DeepStack 
f,,,,6sKd5d9h,50|-50,DeepStack,laak.phil.4 
r200r600f,,,,QhKd3d9d,200|-200,sun.kaishi.1,DeepStack 
r300c,r700f,,,Tc8h4d5c9s2h2c,300|-300,laak.phil.2,DeepStack 
r300r900f,,,,8dTd7hQc,300|-300,DeepStack,laak.phil.2 
r300f,,,,7c3dKc4h,-100|100,laak.phil.4,DeepStack 
r300c,cr900c,cr2700c,r5400r20000f,QdTsTdJc4hTc3dJhQh,-5400|5400,DeepStack,sun.kaishi.2 
r300r900c,r2700c,cr8100f,,4c4s8dJhKdJs8s2s,-2700|2700,DeepStack,sun.kaishi.1 
r300f,,,,2cTc9sJs,-100|100,laak.phil.1,DeepStack 
r300c,r750f,,,8c8s3d2dTd7h6h,300|-300,laak.phil.2,DeepStack 
k,cr300f,,,Ts2d7d9c8c6cQd,-100|100,DeepStack,laak.phil.2 
f,,,,QcQs4d9h,50|-50,DeepStack,laak.phil.4 
r300f,,,,6sQdKdJd,-100|100,DeepStack,laak.phil.1 
r300c,r750c,r2250f,,2s2h9s7s7d2cQhKs,750|-750,laak.phil.4,DeepStack 
r300r900f,,,,AhQsKc2h,300|-300,DeepStack,laak.phil.2 
r300f,,,,5s9h4hKd,-100|100,laak.phil.2,DeepStack 
r300r900c,k,k,cr2700c,TsTh2h5hJdQcAs3h7c,2700|-2700,laak.phil.1,DeepStack 
r300r900c,r2250f,,,9sAc5c5h7dJhTh,900|-900,sun.kaishi.2,DeepStack 
r200r600f,,,,JdThAh2s,200|-200,sun.kaishi.1,DeepStack 
f,,,,8c2c7h3s,50|-50,DeepStack,laak.phil.4 
r300c,cr700r1400f,,,9cQh7cTc3h2hKh,700|-700,DeepStack,laak.phil.2 
r300f,,,,Qd3h8sQh,-100|100,laak.phil.2,DeepStack 
r300f,,,,Js5c9c8c,-100|100,laak.phil.4,DeepStack 
r300f,,,,4s2h9sAc,-100|100,DeepStack,sun.kaishi.1 
r300f,,,,9c2dAs5d,-100|100,DeepStack,sun.kaishi.2 
r300c,cr700f,,,4s6s9dJd3hTdKc,-300|300,DeepStack,laak.phil.2 
r200c,cr400f,,,7d6s6h9hAd2h2d,-200|200,sun.kaishi.1,DeepStack 
f,,,,As6h4c3s,50|-50,DeepStack,laak.phil.1 
f,,,,5c7s6h2c,50|-50,laak.phil.2,DeepStack 
r300c,cr750c,k,r1500c,7dQd2h9hJdJh7h8d2c,1500|-1500,DeepStack,laak.phil.4 
cr300c,k,k,k,JsKs8c5s3d7hAhKc6d,300|-300,sun.kaishi.2,DeepStack 
f,,,,Kd7s3d6s,50|-50,DeepStack,laak.phil.2 
r200f,,,,Tc5sJs8h,-100|100,laak.phil.1,DeepStack 
r300c,k,cr600f,,Qd3d9c9s8c8dJh2s,-300|300,laak.phil.2,DeepStack 
r300f,,,,3dKs6dTd,-100|100,laak.phil.2,DeepStack 
r300r900c,cr2700r20000f,,,5h4hKhTh4s6cQd,2700|-2700,DeepStack,sun.kaishi.1 
r300f,,,,8h2h5sTs,-100|100,DeepStack,sun.kaishi.2 
r300f,,,,2h6h7dJh,-100|100,DeepStack,laak.phil.2 
k,cr300f,,,Qd8cJd7d5c3d7c,-100|100,sun.kaishi.2,DeepStack 
f,,,,Th3s3d8s,50|-50,sun.kaishi.1,DeepStack 
r300c,cr750f,,,As5c9hKd7dJd3c,-300|300,DeepStack,sun.kaishi.1 
r300c,k,k,k,8s7cQd4h7sTd9sTsTh,300|-300,DeepStack,sun.kaishi.2 
r300r900c,k,r2250f,,7h9h8sTh2sQd6d5d,900|-900,sun.kaishi.1,DeepStack 
r300r900c,cr1800c,k,k,JhJc7s5s3sAc2c8dAs,1800|-1800,sun.kaishi.2,DeepStack 
r300r900r2700c,cr6750f,,,3s3dAdQhKd6c2s,-2700|2700,DeepStack,sun.kaishi.1 
r250r750f,,,,Js9s3d5c,250|-250,DeepStack,sun.kaishi.2 
k,k,k,cr300f,JcQh8d5d4h3d3s8s7s,-100|100,sun.kaishi.2,DeepStack 
r300c,cr600c,k,cr1800c,7dQsTs9hKh4d6d6c7h,1800|-1800,sun.kaishi.1,DeepStack 
r300c,cr750f,,,JcAh8cQcQs7h9s,-300|300,DeepStack,sun.kaishi.1 
k,cr300r750r2250f,,,4d8s4c3c2c7c3d,-750|750,sun.kaishi.1,DeepStack 
k,k,k,k,4hJdJcQd4s6hAh3h9s,100|-100,laak.phil.2,DeepStack 
r300r900f,,,,6h9h7c3c,300|-300,DeepStack,laak.phil.2 
r300c,r750f,,,Ah3hKsJs5h4d7h,300|-300,laak.phil.4,DeepStack 
f,,,,4d3h2h3s,50|-50,DeepStack,laak.phil.1 
r300r900f,,,,JhKh9d3h,300|-300,DeepStack,sun.kaishi.1 
k,k,k,r500f,9dKcAd5sTcKs4cQh6s,100|-100,laak.phil.1,DeepStack 
k,k,k,k,Ks8sKc4c9h2hAdQhTc,0|0,laak.phil.2,DeepStack 
r300f,,,,Kd2h8h9h,-100|100,DeepStack,laak.phil.4 
k,k,cr300f,,2d5d4s8cQc6cKdTs,-100|100,sun.kaishi.1,DeepStack 
r300c,cr900f,,,AdThTs6hQhKc8h,-300|300,laak.phil.4,DeepStack 
r300f,,,,5s7c8c8h,-100|100,DeepStack,laak.phil.2 
r300f,,,,6h9sKcTd,-100|100,DeepStack,sun.kaishi.2 
k,cr200f,,,3cTc5d9c2hJdAc,-100|100,laak.phil.2,DeepStack 
r300c,cr750r2250c,cr5350f,,8c6cKd7c9s5hKc3d,-2250|2250,DeepStack,laak.phil.2 
r300f,,,,Kh2dJhQs,-100|100,DeepStack,laak.phil.1 
r250c,cr625c,k,k,8sKd8h6h5d8d9cJd4d,625|-625,DeepStack,laak.phil.4 
f,,,,6c2h2d9d,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,3cQhTs6s,-100|100,sun.kaishi.2,DeepStack 
r200f,,,,3hJdJh9d,-100|100,laak.phil.1,DeepStack 
r300f,,,,2sJcQs3h,-100|100,DeepStack,sun.kaishi.2 
r200c,k,r500c,k,6h5d5s6dJsKs7d6s4c,0|0,sun.kaishi.1,DeepStack 
k,k,cr300f,,3dTdAh9c7sJhKsAd,-100|100,DeepStack,laak.phil.1 
r300c,k,r900f,,3cAh2d3dThJc8hQh,300|-300,DeepStack,laak.phil.2 
k,k,k,k,8cJsQcTsAs8h2h7c4s,100|-100,sun.kaishi.2,DeepStack 
r300f,,,,6d2dThAh,-100|100,laak.phil.2,DeepStack 
r300f,,,,2dKcKh8c,-100|100,DeepStack,laak.phil.2 
r300c,cr600c,k,k,Ad2dKhJd3hTc3d6cQc,600|-600,laak.phil.4,DeepStack 
f,,,,TcQd2d4h,50|-50,laak.phil.2,DeepStack 
r300f,,,,2cTdAs4h,-100|100,laak.phil.2,DeepStack 
r200r600c,r1200f,,,KsAh9h8d4d2hKh,600|-600,DeepStack,laak.phil.2 
r300f,,,,Js6dQs5c,-100|100,laak.phil.1,DeepStack 
k,cr300f,,,Th8d5cAsAc7h4s,-100|100,DeepStack,laak.phil.2 
f,,,,4d6c8s2d,50|-50,DeepStack,sun.kaishi.1 
f,,,,Kh8hTs2h,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,4hAc3h3c,-100|100,sun.kaishi.2,DeepStack 
r200r600r1800f,,,,Kh9cTd8d,-600|600,sun.kaishi.1,DeepStack 
cr300c,r602f,,,6s4s7h8sQsAdAc,300|-300,laak.phil.2,DeepStack 
k,r250c,k,r650c,2s6h3cQhJh8h5hThAd,-650|650,laak.phil.2,DeepStack 
f,,,,KsAh7s2s,50|-50,DeepStack,laak.phil.4 
r300c,cr750f,,,TsAhQcJh4d5s8s,-300|300,DeepStack,sun.kaishi.2 
f,,,,3d8d5c9s,50|-50,DeepStack,laak.phil.1 
r300c,cr600c,k,k,Qd9c7d5h2d2hAd8h2c,600|-600,laak.phil.4,DeepStack 
r250f,,,,5hTd6cQc,-100|100,DeepStack,laak.phil.2 
r300f,,,,3h4d5c5h,-100|100,DeepStack,sun.kaishi.1 
cr300f,,,,JsAs8h4d,100|-100,sun.kaishi.2,DeepStack 
r300f,,,,Kc6d3d8d,-100|100,laak.phil.1,DeepStack 
k,r250f,,,8d5c5s9h4dQs6h,100|-100,laak.phil.2,DeepStack 
r300f,,,,Tc5s8s7d,-100|100,DeepStack,laak.phil.2 
cr300c,r900f,,,JcKhJs9dQcAc3c,300|-300,sun.kaishi.1,DeepStack 
r250r750c,r1500c,cr4500f,,6h8hAs3h2cQh9s3c,-1500|1500,DeepStack,sun.kaishi.2 
f,,,,8sJc3s8d,50|-50,DeepStack,laak.phil.1 
r200c,r500f,,,6h6d4d5h2d2cQh,200|-200,laak.phil.2,DeepStack 
r300c,k,k,k,Kh5sJc7sTd7hAd5d5h,300|-300,DeepStack,laak.phil.2 
r300f,,,,2h7dAdJh,-100|100,DeepStack,sun.kaishi.1 
f,,,,Jh3sQs2d,50|-50,DeepStack,laak.phil.4 
f,,,,Js2c2d3s,50|-50,laak.phil.1,DeepStack 
f,,,,5dTs9c4s,50|-50,DeepStack,laak.phil.2 
f,,,,2dTd4h6d,50|-50,DeepStack,laak.phil.1 
r300c,cr600c,r1800f,,TsKh7s5d2hJdKsTh,600|-600,laak.phil.2,DeepStack 
k,k,k,k,5s5h2hJd4c7d7sQcJs,-100|100,laak.phil.4,DeepStack 
r300r900c,r2250c,k,cr6750f,9c9s7s6sQs6dTd8hAh,-2250|2250,sun.kaishi.2,DeepStack 
r300f,,,,4s5d8s7d,-100|100,laak.phil.1,DeepStack 
k,r201c,k,k,Jd7h3d6c2c3s9hQcAc,-201|201,laak.phil.2,DeepStack 
f,,,,9h2c5sQh,50|-50,DeepStack,laak.phil.2 
r200r600r1600c,cr2121c,cr3997f,,7cKcAdAsTdThAc9s,-2121|2121,DeepStack,laak.phil.1 
r300f,,,,Qd3s4h4c,-100|100,laak.phil.2,DeepStack 
r300r900c,cr2000f,,,AcTh8hQhQc4s2d,-900|900,DeepStack,laak.phil.4 
r300r900f,,,,Js7s9sKd,300|-300,DeepStack,laak.phil.2 
r300f,,,,4h9s6c8h,-100|100,sun.kaishi.1,DeepStack 
r300c,k,cr600c,k,KsTs8c4c4d6h6dQh9d,-600|600,laak.phil.4,DeepStack 
r250c,cr625c,k,k,2sQs4s7s2h8d4hJh6c,-625|625,DeepStack,sun.kaishi.1 
k,r250c,k,k,2hJd9c4d5d4sJs8dAh,250|-250,laak.phil.1,DeepStack 
r300c,k,k,k,2dJd3hJh6s3c2sQcQh,-300|300,DeepStack,laak.phil.2 
k,cr200c,r500c,cr1000c,2hQc7s3c7cQs7d4dTd,-1000|1000,laak.phil.2,DeepStack 
f,,,,Th9d4sTd,50|-50,DeepStack,laak.phil.4 
r200c,r399r1197r3591c,k,k,7d7sTd9c6h7cTh8hAd,-3591|3591,laak.phil.2,DeepStack 
k,k,k,cr200c,2s9s9d4hTh7d9c7s5d,0|0,laak.phil.4,DeepStack 
r300f,,,,9d3c4c5d,-100|100,DeepStack,laak.phil.1 
f,,,,JdTh7d3h,50|-50,DeepStack,laak.phil.2 
r300c,r750f,,,KhTs4c2c7h8h9d,300|-300,sun.kaishi.1,DeepStack 
r300r1100f,,,,QsKd6d9s,300|-300,laak.phil.2,DeepStack 
r300f,,,,Td2h4dKs,-100|100,laak.phil.1,DeepStack 
r200r600c,r1200f,,,AhQh5hAdKc3dJh,600|-600,DeepStack,laak.phil.2 
r300f,,,,7hJc2dKh,-100|100,DeepStack,laak.phil.1 
cr300c,r600f,,,QsJh6s5h2sJs2d,300|-300,DeepStack,laak.phil.2 
k,cr300f,,,2s3dTc5c9c7s7c,-100|100,DeepStack,sun.kaishi.1 
k,k,k,k,5c8h5hAdJsJc7cKh3h,-100|100,DeepStack,sun.kaishi.2 
r300f,,,,8d4s8hKh,-100|100,DeepStack,laak.phil.4 
k,k,r250c,r625f,4d2s8c6d5s7s2h3sJs,250|-250,laak.phil.1,DeepStack 
r300c,k,r750c,r2550c,7c5cAh9h7hKh7s8hJs,-2550|2550,laak.phil.2,DeepStack 
k,k,cr200c,cr600f,Ah8d3c5d8s9dTh4cQs,-200|200,laak.phil.4,DeepStack 
r300c,r750f,,,3h2h4h7cJhTcKh,300|-300,laak.phil.2,DeepStack 
r600f,,,,2sJc3d5d,-100|100,DeepStack,laak.phil.1 
r500r1500c,k,k,k,7h7s2h5h2cKsAhTdJh,1500|-1500,DeepStack,laak.phil.2 
r400c,cr1000c,cr2600f,,Ks9c9hAhQh9sAs6h,-1000|1000,DeepStack,laak.phil.2 
cr300f,,,,Ad9d6d3s,100|-100,laak.phil.1,DeepStack 
r200r600c,r1200r2100c,cr5250c,cr13750f,JsKs4s4h4dKcQdJd3c,-5250|5250,DeepStack,laak.phil.4 
r300f,,,,Tc4hJsKh,-100|100,DeepStack,laak.phil.1 
r300f,,,,7h3s6c8d,-100|100,laak.phil.2,DeepStack 
f,,,,Ts9c7s2h,50|-50,laak.phil.2,DeepStack 
r300c,cr600c,k,k,TcKcTs3s6h5c8sAh5d,600|-600,sun.kaishi.1,DeepStack 
f,,,,Js5c6hJd,50|-50,DeepStack,laak.phil.2 
k,r250r500c,k,cr20000f,4d5c4s9cKs4h2d9s9d,-500|500,laak.phil.1,DeepStack 
r300c,cr800f,,,As6h9sQhTdJhKc,-300|300,DeepStack,laak.phil.2 
cr400f,,,,8sJs2sJd,100|-100,laak.phil.2,DeepStack 
r300c,k,cr750r2250c,k,Ks4sQcJs6h6s8sQh6c,-2250|2250,DeepStack,laak.phil.2 
r300c,cr600f,,,9c7cQh4c5dThJs,-300|300,laak.phil.2,DeepStack 
r200c,r533c,r1332c,r3330c,AsThTdAcAd8s3h2c9s,0|0,laak.phil.4,DeepStack 
r400r1200f,,,,Ad7d8d4d,400|-400,DeepStack,laak.phil.2 
r200c,k,r500f,,Td9h5cJhAs8cQs4s,200|-200,laak.phil.2,DeepStack 
r500c,cr1250c,k,cr3250c,KdTh7hQdTs4hQs3h3c,-3250|3250,DeepStack,laak.phil.4 
r300r900c,r1800c,r3600f,,AsKdAdTs7h2d7c7s,1800|-1800,DeepStack,laak.phil.1 
r300c,cr600f,,,8h7sJc4cQh3cKh,-300|300,laak.phil.2,DeepStack 
f,,,,8d6h5h4c,50|-50,DeepStack,laak.phil.2 
f,,,,2dQh8d2c,50|-50,DeepStack,laak.phil.2 
r300c,cr600f,,,9cAs2dKd3d6c8h,-300|300,sun.kaishi.2,DeepStack 
r200c,k,r500c,k,TsQc5h5c4h8c6h6d9s,-500|500,laak.phil.2,DeepStack 
r300c,k,r700f,,Ah7sAc6hKs8dQhQd,300|-300,laak.phil.2,DeepStack 
f,,,,JdTc3c2d,50|-50,laak.phil.4,DeepStack 
r300f,,,,Kc3dKsJh,-100|100,DeepStack,laak.phil.4 
r200c,cr400f,,,2sKs5sAhTh7dAc,-200|200,laak.phil.1,DeepStack 
r200c,r500r1500f,,,8c7h2d3d7d3c9h,-500|500,laak.phil.4,DeepStack 
k,cr250f,,,Jd3s8dAc5h8c8h,-100|100,DeepStack,laak.phil.2 
r300f,,,,6s2d5c7h,-100|100,DeepStack,laak.phil.2 
r300c,cr900f,,,8cKsThTc7s4h9h,-300|300,DeepStack,laak.phil.1 
f,,,,Ad3c2h9s,50|-50,laak.phil.2,DeepStack 
r400f,,,,2d7s2h4h,-100|100,DeepStack,laak.phil.2 
cr700f,,,,2s9s4sTd,100|-100,laak.phil.2,DeepStack 
k,r200c,k,k,Th6d3sJhAcJsKd7c2h,-200|200,laak.phil.2,DeepStack 
f,,,,3hAc2c4h,50|-50,DeepStack,laak.phil.4 
f,,,,2d5d3h6c,50|-50,DeepStack,laak.phil.2 
f,,,,AsAh8h5d,50|-50,DeepStack,sun.kaishi.1 
f,,,,5hAd8s3c,50|-50,laak.phil.1,DeepStack 
r200c,k,r600f,,6d7h9h7cAdJh3d7d,200|-200,laak.phil.4,DeepStack 
r200r600f,,,,6sAs8c6d,200|-200,DeepStack,laak.phil.1 
k,k,r400f,,3d8s2dTs2sJc5d4h,100|-100,laak.phil.2,DeepStack 
k,cr200f,,,8h3d2dKcJcJh4c,-100|100,sun.kaishi.1,DeepStack 
k,k,k,cr300c,7d2sJsTh6hQd7cJh3d,-300|300,laak.phil.1,DeepStack 
r200f,,,,2s3hJdQs,-100|100,DeepStack,laak.phil.2 
f,,,,5h9s5c2h,50|-50,DeepStack,laak.phil.4 
r300c,k,cr700f,,4dAh8dJh6h7dTcQs,-300|300,DeepStack,laak.phil.2 
r200c,r500f,,,8sTs3h3d6c7hTd,200|-200,laak.phil.2,DeepStack 
k,k,k,r250f,Js8cAd2d9cKhQc3cTc,100|-100,laak.phil.4,DeepStack 
r300c,cr750f,,,2sAcJcAdKd3d3h,-300|300,DeepStack,sun.kaishi.1 
r600f,,,,5c9h7d2d,-100|100,DeepStack,laak.phil.2 
r300c,k,k,r750f,Tc9hQs8c5c2c4cKsTs,300|-300,laak.phil.2,DeepStack 
r200c,k,cr400c,r1200f,Td8h6c6sAh2d8d5dAd,400|-400,laak.phil.2,DeepStack 
r300f,,,,2c9s6h5s,-100|100,sun.kaishi.1,DeepStack 
f,,,,JcKh6h9c,50|-50,DeepStack,laak.phil.1 
f,,,,QhJc3d5h,50|-50,DeepStack,laak.phil.4 
f,,,,5c8hKh3s,50|-50,DeepStack,sun.kaishi.1 
r200f,,,,3h2d9dQs,-100|100,DeepStack,laak.phil.2 
r200c,r500f,,,7cKd5d3hQsJsTd,200|-200,laak.phil.1,DeepStack 
r300f,,,,6d9s9hTc,-100|100,laak.phil.4,DeepStack 
r300f,,,,7h4c7c6h,-100|100,sun.kaishi.1,DeepStack 
k,r250f,,,QhTd6d3hKc9hJc,100|-100,laak.phil.2,DeepStack 
f,,,,7hQcTh6c,50|-50,DeepStack,laak.phil.2 
r300c,cr600f,,,QhJsAdJd7dKd8d,-300|300,DeepStack,laak.phil.4 
f,,,,QhJhQd5h,50|-50,DeepStack,sun.kaishi.1 
r200r600f,,,,QhJcKs7d,200|-200,DeepStack,laak.phil.1 
r200c,r500c,cr1000f,,7h5s9hThKsKcQd2d,-500|500,laak.phil.2,DeepStack 
f,,,,5d8c2h8s,50|-50,sun.kaishi.1,DeepStack 
r300c,cr750f,,,2dJdKsQsTh6h9c,-300|300,DeepStack,sun.kaishi.1 
r500r1500f,,,,JdAhQc4h,500|-500,DeepStack,laak.phil.2 
r200c,r500r1500c,k,k,Ad9sTcJs5h8s9dTd3s,-1500|1500,laak.phil.4,DeepStack 
k,cr200r500f,,,7c8h4d8sAs2hQh,200|-200,laak.phil.1,DeepStack 
k,cr200c,cr400c,r1700f,2d5h8d9h5dAsJdQcKd,400|-400,laak.phil.2,DeepStack 
k,k,k,r200r600f,Ks7dAh2dJc7s2cQdAs,-200|200,DeepStack,laak.phil.2 
r200f,,,,4hJhJsAc,-100|100,sun.kaishi.1,DeepStack 
f,,,,9cKh2s8c,50|-50,DeepStack,sun.kaishi.1 
f,,,,Js8d5c3s,50|-50,DeepStack,laak.phil.4 
r300c,cr750c,k,cr2250f,Qh4hAd4c3hAsKd2c2s,-750|750,DeepStack,laak.phil.1 
r300f,,,,3dJs8sKc,-100|100,sun.kaishi.1,DeepStack 
r300f,,,,Jh2dTdTs,-100|100,laak.phil.4,DeepStack 
r300f,,,,2c5sQh9d,-100|100,laak.phil.2,DeepStack 
r300f,,,,5hTs3d4d,-100|100,DeepStack,laak.phil.4 
r300r900r2700f,,,,Th9d3hAh,-900|900,DeepStack,sun.kaishi.1 
r200r600f,,,,QcQs6c8h,200|-200,DeepStack,laak.phil.2 
k,r250c,r750c,k,KcTcAs2s7c4hAc6d6s,-750|750,laak.phil.4,DeepStack 
r300r900f,,,,KdQd4c6c,300|-300,DeepStack,laak.phil.2 
r300f,,,,6d7cJs4s,-100|100,laak.phil.1,DeepStack 
r200f,,,,3hKs6s9d,-100|100,laak.phil.2,DeepStack 
r300r900f,,,,6h6sJh9d,300|-300,DeepStack,laak.phil.2 
k,k,r250f,,3sJsAh8s9dQh2s4c,100|-100,laak.phil.2,DeepStack 
r300c,k,k,k,Kd5dKs3d6cQcAs2cAh,0|0,DeepStack,laak.phil.1 
r300f,,,,Kh4dAsQd,-100|100,DeepStack,laak.phil.4 
cr400f,,,,9dKdJc2d,100|-100,laak.phil.2,DeepStack 
r300f,,,,3hTsAs6s,-100|100,laak.phil.4,DeepStack 
cr20000f,,,,AcKc4s7s,100|-100,sun.kaishi.1,DeepStack 
f,,,,Kh6h9h3d,50|-50,DeepStack,laak.phil.2 
r300c,k,r900r2250f,,8hJsTc7h7d9cQs3h,-900|900,DeepStack,laak.phil.2 
f,,,,KsAs6s2c,50|-50,DeepStack,laak.phil.4 
k,r250f,,,6h4s7h4c6sKd9c,100|-100,laak.phil.4,DeepStack 
r300c,r750f,,,Kh9d8h5d2d2sJc,300|-300,laak.phil.2,DeepStack 
r300f,,,,Tc8s6s9h,-100|100,laak.phil.1,DeepStack 
k,r250f,,,Qd9dTc5d8cJs6c,100|-100,laak.phil.2,DeepStack 
r300c,cr700c,k,k,9h8c2d2c9dKh7hKsJs,700|-700,DeepStack,laak.phil.2 
r300c,k,r600c,k,9h7sKsTc7dAh8hAs2h,600|-600,DeepStack,laak.phil.4 
r300c,cr606c,k,cr2006f,QsTh6c8hKd9d3s5d7s,-606|606,DeepStack,laak.phil.1 
r300c,cr700c,k,r1400f,JdTc5c5sKd3sAc8d4d,700|-700,DeepStack,laak.phil.2 
cr300f,,,,6s5sTd4s,100|-100,laak.phil.4,DeepStack 
k,r250c,k,k,Th5sKd3c6c5c7cQcJd,-250|250,laak.phil.2,DeepStack 
r300c,cr600f,,,Jh9cTcTh4c4s3d,-300|300,laak.phil.2,DeepStack 
r300f,,,,4d3h3sKs,-100|100,DeepStack,laak.phil.4 
cr300f,,,,JcTc4cTd,100|-100,laak.phil.1,DeepStack 
r300f,,,,6d4sJcQc,-100|100,laak.phil.4,DeepStack 
f,,,,6cAs2h9d,50|-50,DeepStack,laak.phil.2 
r400c,cr1000f,,,7sTdQd6c4sQc5d,-400|400,DeepStack,laak.phil.4 
r400f,,,,3h7s5h8s,-100|100,DeepStack,laak.phil.2 
cr300c,k,r750f,,2s2h7dAh3cJsQs6s,300|-300,laak.phil.2,DeepStack 
r300c,cr606f,,,4dJdQd5cKd2h7s,-300|300,DeepStack,laak.phil.1 
cr300f,,,,JhQs8c4d,100|-100,laak.phil.2,DeepStack 
k,r250f,,,7cJsTc6c4s2s3s,100|-100,laak.phil.4,DeepStack 
r300c,cr750f,,,Ks7dKd4d5h3d2h,-300|300,DeepStack,laak.phil.2 
r200c,r404c,cr808f,,2s6sQd6d7cAd5sQh,-404|404,laak.phil.1,DeepStack 
f,,,,Th5d7s2d,50|-50,DeepStack,laak.phil.2 
k,cr300f,,,5cQdJdKc4hJhTs,-100|100,DeepStack,laak.phil.4 
f,,,,Td7d2d6s,50|-50,laak.phil.2,DeepStack 
r300f,,,,4hQsTdAd,-100|100,laak.phil.2,DeepStack 
f,,,,3s8dKh2c,50|-50,DeepStack,laak.phil.2 
r300c,cr750c,k,k,Td5dKd9c2dAc5c6cQd,750|-750,DeepStack,laak.phil.2 
r200f,,,,6dQh8h7h,-100|100,laak.phil.2,DeepStack 
cr300c,r800f,,,AcAdJs7c8dQc2h,300|-300,laak.phil.4,DeepStack 
r300f,,,,Kd2sQdKs,-100|100,DeepStack,sun.kaishi.1 
r200c,cr500f,,,KsTh5h6c4c5c8d,-200|200,DeepStack,laak.phil.2 
f,,,,Qh7d3s2d,50|-50,DeepStack,laak.phil.1 
k,cr200f,,,8c4h2dAdAs5hKh,-100|100,sun.kaishi.1,DeepStack 
r300f,,,,5c8hJc6d,-100|100,DeepStack,laak.phil.4 
cr300c,r602c,cr1204f,,TsKc9dTh4s8hAc2h,-602|602,laak.phil.2,DeepStack 
r300c,r750c,r2250f,,9hAhAcTh2hQs6h9d,750|-750,laak.phil.2,DeepStack 
f,,,,4d8d4h2c,50|-50,laak.phil.1,DeepStack 
k,r250c,k,k,6sJhAdJd6c3cAcTd5c,-250|250,laak.phil.4,DeepStack 
r300c,cr599f,,,5c3cTcJh9cTh7s,-300|300,DeepStack,laak.phil.1 
r300f,,,,7c2cAsQd,-100|100,DeepStack,laak.phil.2 
r300c,k,r600f,,Kh4h4dQs8h6c9dTc,300|-300,DeepStack,laak.phil.2 
r200f,,,,7s2dAhAs,-100|100,laak.phil.1,DeepStack 
r300c,cr600c,k,r1200f,Jd9s9hKc6s3dQd5dTc,600|-600,DeepStack,laak.phil.4 
cr500f,,,,Jc9cQd2h,100|-100,laak.phil.2,DeepStack 
r300f,,,,5c4dJc8c,-100|100,DeepStack,sun.kaishi.1 
k,k,cr250f,,3c8h6d8sKcTh4d9d,-100|100,DeepStack,laak.phil.2 
r200f,,,,Ts5cTc9s,-100|100,sun.kaishi.1,DeepStack 
r250c,cr671c,k,k,8dQhAh3h7h8h6c9d3s,671|-671,DeepStack,laak.phil.1 
r200c,r500r1000f,,,7h8sKh7sJs5s8c,-500|500,laak.phil.2,DeepStack 
r300r900r2700r20000c,,,,AcKsAh5h2hAd2cTd3s,20000|-20000,DeepStack,sun.kaishi.1 
k,r200c,cr400c,k,2h2cJc6h9hTdTs4h6s,-400|400,laak.phil.4,DeepStack 
r300f,,,,3hQc8cTh,-100|100,laak.phil.2,DeepStack 
f,,,,4s3h2s9h,50|-50,DeepStack,laak.phil.2 
k,k,k,cr300c,4hTd8h6dKcJsQh4c3s,300|-300,sun.kaishi.1,DeepStack 
r300c,k,k,r600c,9hAcJh6sJsAs5dQhQd,600|-600,DeepStack,laak.phil.2 
r300f,,,,5s4hAcKh,-100|100,laak.phil.1,DeepStack 
r300c,k,k,r1000c,9cTc2sKhKd8hJd8s3h,-1000|1000,laak.phil.2,DeepStack 
r300r900f,,,,2h2d9s5s,300|-300,DeepStack,laak.phil.4 
r300f,,,,3sTcTsAh,-100|100,DeepStack,laak.phil.1 
r300f,,,,4dKs7s8s,-100|100,laak.phil.2,DeepStack 
cr300c,r750f,,,9dJd4c3s2cTcJh,300|-300,laak.phil.1,DeepStack 
f,,,,9dAs3cQh,50|-50,DeepStack,sun.kaishi.1 
r200f,,,,3d2hQs6d,-100|100,DeepStack,laak.phil.2 
r200r600f,,,,KhAsQc4d,200|-200,laak.phil.4,DeepStack 
r500f,,,,4d7c2h8h,-100|100,DeepStack,laak.phil.2 
k,k,k,cr300f,2h3h4c9dJs9sQs7h4h,-100|100,sun.kaishi.1,DeepStack 
r300r1500c,r3500f,,,8d7dJdQh3hKs4c,1500|-1500,laak.phil.2,DeepStack 
r300f,,,,2h9c6s6d,-100|100,DeepStack,laak.phil.4 
